Game,buy_in,cash_out,profit,start_date_time,end_date_time,game_location,time_paused,tournament,Blinds,participants,end_position,notes,Original Order,game_name,blinds_name,kill_status
Omaha 8,$ 1000.00,$ 400.00,$ -600.00,Thu Aug 08 23:30:00 CDT 2013,Thu Aug 08 05:31:00 CDT 2013,Borgata,-,cashgame,10 20,-,-,,1,Omaha 8,10/20,none
Borgata 20 40,$ 1000.00,$ 2100.00,$ 1100.00,Fri Aug 09 22:30:00 CDT 2013,Sat Aug 10 05:31:00 CDT 2013,Borgata,-,cashgame,20/40,-,-,,2,Limit Holdem,20/40,none
Borgata 20 40,$ 1000.00,$ 1362.00,$ 362.00,Sat Aug 10 23:14:00 CDT 2013,Sun Aug 11 05:15:00 CDT 2013,Borgata,-,cashgame,20/40,-,-,,3,Limit Holdem,20/40,none
Borgata 20 40,$ 1000.00,$ 2352.00,$ 1352.00,Sun Aug 11 22:15:00 CDT 2013,Mon Aug 12 05:30:00 CDT 2013,Borgata,-,cashgame,20/40,-,-,,4,Limit Holdem,20/40,none
Borgata 20 40,$ 1000.00,$ 1192.00,$ 192.00,Mon Aug 12 18:30:00 CDT 2013,Mon Aug 12 21:31:00 CDT 2013,Borgata,-,cashgame,20/40,-,-,,5,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1753.00,$ 753.00,Mon Aug 19 22:00:00 CDT 2013,Tue Aug 20 00:30:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,6,Limit Holdem,20/40,none
Bellagio 20 40,$ 2000.00,$ 3500.00,$ 1500.00,Tue Aug 20 17:30:00 CDT 2013,Wed Aug 21 00:00:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,7,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2805.00,$ 1805.00,Wed Aug 21 17:00:00 CDT 2013,Wed Aug 21 19:30:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,8,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1903.00,$ 903.00,Thu Aug 22 17:54:00 CDT 2013,Thu Aug 22 23:58:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,9,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2333.00,$ 1333.00,Fri Aug 23 18:00:00 CDT 2013,Sat Aug 24 02:30:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,10,Limit Holdem,20/40,none
Bellagio 20 40,$ 3900.00,$ 485.00,$ -3415.00,Sat Aug 24 18:30:00 CDT 2013,Mon Aug 26 03:31:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,11,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 2812.00,$ 1312.00,Mon Aug 26 22:00:00 CDT 2013,Tue Aug 27 02:30:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,12,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2705.00,$ 1705.00,Tue Aug 27 20:29:00 CDT 2013,Wed Aug 28 01:30:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,13,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2735.00,$ 1735.00,Wed Aug 28 18:25:00 CDT 2013,Wed Aug 28 22:26:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,14,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2385.00,$ 1385.00,Mon Sep 09 20:31:00 CDT 2013,Tue Sep 10 01:32:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,15,Limit Holdem,20/40,none
Bellagio 20 40,$ 500.00,$ 733.00,$ 233.00,Tue Sep 10 17:30:00 CDT 2013,Tue Sep 10 19:00:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,16,Limit Holdem,20/40,none
Bellagio 20 40,$ 3000.00,$ 900.00,$ -2100.00,Tue Sep 10 21:34:00 CDT 2013,Wed Sep 11 08:30:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,17,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1329.00,$ 329.00,Wed Sep 11 20:34:00 CDT 2013,Thu Sep 12 07:35:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,18,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 3215.00,$ 1715.00,Thu Sep 12 18:06:00 CDT 2013,Fri Sep 13 05:07:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,19,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 295.00,$ -705.00,Fri Sep 13 18:32:00 CDT 2013,Sat Sep 14 09:33:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,20,Limit Holdem,20/40,none
Texas Holdem,$ 3500.00,$ 2769.00,$ -731.00,Sat Sep 14 20:40:00 CDT 2013,Sun Sep 15 07:41:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,21,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 4211.00,$ 2711.00,Sun Sep 15 16:08:00 CDT 2013,Mon Sep 16 02:08:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,22,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 2788.00,$ 1288.00,Mon Sep 16 17:30:00 CDT 2013,Mon Sep 16 20:43:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,23,Limit Holdem,20/40,none
Bellagio 20 40,$ 2000.00,$ 3176.00,$ 1176.00,Wed Sep 18 00:42:00 CDT 2013,Wed Sep 18 19:42:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,24,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2450.00,$ 1450.00,Thu Sep 19 14:16:00 CDT 2013,Thu Sep 19 17:17:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,25,Limit Holdem,20/40,none
Borgata 20 40,$ 2000.00,$ 2006.00,$ 6.00,Wed Sep 25 20:17:00 CDT 2013,Thu Sep 26 02:00:00 CDT 2013,Borgata,-,cashgame,20/40,-,-,,26,Limit Holdem,20/40,none
Borgata 20 40,$ 3000.00,$ 3240.00,$ 240.00,Thu Sep 26 16:51:00 CDT 2013,Fri Sep 27 05:52:00 CDT 2013,Borgata,-,cashgame,20/40,-,-,,27,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 2133.00,$ 633.00,Wed Oct 02 17:34:00 CDT 2013,Thu Oct 03 02:35:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,28,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2363.00,$ 1363.00,Thu Oct 03 16:21:00 CDT 2013,Thu Oct 03 23:22:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,29,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1834.00,$ 834.00,Fri Oct 04 16:30:00 CDT 2013,Fri Oct 04 18:00:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,30,Limit Holdem,20/40,none
Texas Holdem,$ 1000.00,$ 2048.00,$ 1048.00,Fri Oct 04 22:00:00 CDT 2013,Sat Oct 05 00:36:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,31,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1437.00,$ 437.00,Sat Oct 05 16:03:00 CDT 2013,Sun Oct 06 08:04:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,32,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2026.00,$ 1026.00,Sun Oct 06 16:38:00 CDT 2013,Sun Oct 06 16:39:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,33,Limit Holdem,20/40,none
Bellagio 20 40,$ 3000.00,$ 1748.00,$ -1252.00,Sun Oct 06 23:33:00 CDT 2013,Mon Oct 07 06:34:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,34,Limit Holdem,20/40,none
Bellagio 20 40,$ 800.00,$ 2055.00,$ 1255.00,Mon Oct 07 17:32:00 CDT 2013,Tue Oct 08 03:32:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,35,Limit Holdem,20/40,none
Bellagio 20 40,$ 2500.00,$ 3727.00,$ 1227.00,Tue Oct 08 17:34:00 CDT 2013,Wed Oct 09 01:35:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,36,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1692.00,$ 692.00,Wed Oct 09 20:35:00 CDT 2013,Thu Oct 10 04:36:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,37,Limit Holdem,20/40,none
Bellagio 20 40,$ 1200.00,$ 4.00,$ -1196.00,Mon Oct 28 23:10:00 CDT 2013,Tue Oct 29 06:11:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,38,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 3035.00,$ 2035.00,Tue Oct 29 20:06:00 CDT 2013,Wed Oct 30 04:07:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,39,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2520.00,$ 1520.00,Wed Oct 30 17:00:00 CDT 2013,Thu Oct 31 00:00:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,40,Limit Holdem,20/40,none
Bellagio 20 40,$ 3000.00,$ 0.00,$ -3000.00,Thu Oct 31 18:28:00 CDT 2013,Fri Nov 01 07:29:00 CDT 2013,Bellagio,-,cashgame,20/40,-,-,,41,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2952.00,$ 1952.00,Mon Nov 04 17:17:00 CST 2013,Mon Nov 04 22:18:00 CST 2013,Bellagio,-,cashgame,20/40,-,-,,42,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2353.00,$ 1353.00,Tue Nov 05 18:30:00 CST 2013,Wed Nov 06 00:50:00 CST 2013,Bellagio,-,cashgame,20/40,-,-,,43,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2202.00,$ 1202.00,Wed Nov 06 17:34:00 CST 2013,Wed Nov 06 21:35:00 CST 2013,Bellagio,-,cashgame,20/40,-,-,,44,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2581.00,$ 1581.00,Thu Nov 07 17:00:00 CST 2013,Thu Nov 07 22:20:00 CST 2013,Bellagio,-,cashgame,20/40,-,-,,45,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1903.00,$ 903.00,Mon Nov 18 21:03:00 CST 2013,Mon Nov 18 23:04:00 CST 2013,Bellagio,-,cashgame,20/40,-,-,,46,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1962.00,$ 962.00,Tue Nov 19 16:32:00 CST 2013,Wed Nov 20 03:33:00 CST 2013,Bellagio,-,cashgame,20/40,-,-,,47,Limit Holdem,20/40,none
Bellagio 20 40,$ 3500.00,$ 0.00,$ -3500.00,Wed Nov 20 16:31:00 CST 2013,Thu Nov 21 04:32:00 CST 2013,Bellagio,-,cashgame,20/40,-,-,,48,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 3513.00,$ 2513.00,Thu Nov 21 16:36:00 CST 2013,Fri Nov 22 02:30:00 CST 2013,Bellagio,-,cashgame,20/40,-,-,,49,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1514.00,$ 514.00,Fri Nov 22 18:09:00 CST 2013,Sat Nov 23 07:10:00 CST 2013,Bellagio,-,cashgame,20/40,-,-,,50,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 3407.00,$ 2407.00,Sat Nov 23 18:01:00 CST 2013,Sun Nov 24 02:02:00 CST 2013,Bellagio,-,cashgame,20/40,-,-,,51,Limit Holdem,20/40,none
Bellagio 20 40,$ 2000.00,$ 3666.00,$ 1666.00,Sun Nov 24 14:35:00 CST 2013,Mon Nov 25 02:36:00 CST 2013,Bellagio,-,cashgame,20/40,-,-,,52,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 810.00,$ -190.00,Mon Nov 25 16:33:00 CST 2013,Mon Nov 25 21:34:00 CST 2013,Bellagio,-,cashgame,20/40,-,-,,53,Limit Holdem,20/40,none
Bellagio 20 40,$ 2000.00,$ 2122.00,$ 122.00,Tue Nov 26 02:32:00 CST 2013,Tue Nov 26 08:33:00 CST 2013,Bellagio,-,cashgame,20/40,-,-,,54,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1782.00,$ 782.00,Tue Nov 26 22:18:00 CST 2013,Wed Nov 27 08:18:00 CST 2013,Bellagio,-,cashgame,20/40,-,-,,55,Limit Holdem,20/40,none
